year,date,team_a,team_b,score_a,score_b,venue,notes
2025,8/30,Boston College,Fordham,66,10,,
2025,9/6,Boston College,Michigan State,40,42,,
2025,9/13,Boston College,Stanford,20,30,,
2025,9/27,Boston College,California,24,28,,
2025,10/4,Boston College,Pittsburgh,7,48,,
2025,10/11,Boston College,Clemson,10,41,,
2025,10/18,Boston College,Connecticut,23,38,,
2025,10/25,Boston College,Louisville,24,38,,
2025,11/1,Boston College,Notre Dame,10,25,,
2025,11/8,Boston College,Southern Methodist,13,45,,
2025,11/15,Boston College,Georgia Tech,34,36,,
2025,11/29,Boston College,Syracuse,34,12,,
2024,9/2,Boston College,Florida State,28,13,,
2024,9/7,Boston College,Duquesne,56,0,,
2024,9/14,Boston College,Missouri,21,27,,
2024,9/21,Boston College,Michigan State,23,19,,
2024,9/28,Boston College,Western Kentucky,21,20,,
2024,10/5,Boston College,Virginia,14,24,,
2024,10/17,Boston College,Virginia Tech,21,42,,
2024,10/25,Boston College,Louisville,27,31,,
2024,11/9,Boston College,Syracuse,37,31,,
2024,11/16,Boston College,Southern Methodist,28,38,,
2024,11/23,Boston College,North Carolina,41,21,,
2024,11/30,Boston College,Pittsburgh,34,23,,
2024,12/28,Boston College,Nebraska,15,20,"@ New York, NY",Pinstripe Bowl
2023,9/2,Boston College,Northern Illinois,24,27,,
2023,9/9,Boston College,Holy Cross,31,28,,
2023,9/16,Boston College,Florida State,29,31,,
2023,9/23,Boston College,Louisville,28,56,,
2023,9/30,Boston College,Virginia,27,24,,
2023,10/7,Army,Boston College,24,27,,
2023,10/21,Boston College,Georgia Tech,38,23,,
2023,10/28,Boston College,Connecticut,21,14,,
2023,11/3,Boston College,Syracuse,17,10,,
2023,11/11,Boston College,Virginia Tech,22,48,,
2023,11/16,Boston College,Pittsburgh,16,24,,
2023,11/24,Boston College,Miami (Florida),20,45,,
2023,12/28,Boston College,Southern Methodist,23,14,"@ Boston, MA",Fenway Bowl
2022,9/3,Boston College,Rutgers,21,22,,
2022,9/10,Boston College,Virginia Tech,10,27,,
2022,9/17,Boston College,Maine,38,17,,
2022,9/24,Boston College,Florida State,14,44,,
2022,10/1,Boston College,Louisville,34,33,,
