year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1890,Regular,Duke,Virginia,0,1,0,1,0.0
1890,Regular,Virginia,Duke,1,0,0,1,100.0
1902,Regular,Clemson,Georgia Tech,1,0,0,1,100.0
1902,Regular,Clemson,NC State,1,0,0,1,100.0
1902,Regular,Georgia Tech,Clemson,0,1,0,1,0.0
1902,Regular,NC State,Clemson,0,1,0,1,0.0
1902,Regular,NC State,North Carolina,0,0,1,1,0.0
1902,Regular,NC State,Virginia Tech,0,1,0,1,0.0
1902,Regular,North Carolina,NC State,0,0,1,1,0.0
1902,Regular,North Carolina,Virginia,0,0,1,1,0.0
1902,Regular,North Carolina,Virginia Tech,0,0,1,1,0.0
1902,Regular,Virginia,North Carolina,0,0,1,1,0.0
1902,Regular,Virginia,Virginia Tech,1,0,0,1,100.0
1902,Regular,Virginia Tech,NC State,1,0,0,1,100.0
1902,Regular,Virginia Tech,North Carolina,0,0,1,1,0.0
1902,Regular,Virginia Tech,Virginia,0,1,0,1,0.0
1903,Regular,Clemson,Georgia Tech,1,0,0,1,100.0
1903,Regular,Clemson,NC State,1,0,0,1,100.0
1903,Regular,Clemson,North Carolina,0,1,0,1,0.0
1903,Regular,Florida State,Georgia Tech,0,1,0,1,0.0
1903,Regular,Georgia Tech,Clemson,0,1,0,1,0.0
1903,Regular,Georgia Tech,Florida State,1,0,0,1,100.0
1903,Regular,NC State,Clemson,0,1,0,1,0.0
1903,Regular,NC State,Virginia Tech,0,1,0,1,0.0
1903,Regular,North Carolina,Clemson,1,0,0,1,100.0
1903,Regular,North Carolina,Virginia,1,0,0,1,100.0
1903,Regular,North Carolina,Virginia Tech,0,1,0,1,0.0
1903,Regular,Virginia,North Carolina,0,1,0,1,0.0
1903,Regular,Virginia,Virginia Tech,1,0,0,1,100.0
1903,Regular,Virginia Tech,NC State,1,0,0,1,100.0
1903,Regular,Virginia Tech,North Carolina,1,0,0,1,100.0
1903,Regular,Virginia Tech,Virginia,0,1,0,1,0.0
1904,Regular,Clemson,Georgia Tech,0,0,1,1,0.0
1904,Regular,Clemson,NC State,0,1,0,1,0.0
1904,Regular,Florida State,Georgia Tech,0,1,0,1,0.0
1904,Regular,Georgia Tech,Clemson,0,0,1,1,0.0
1904,Regular,Georgia Tech,Florida State,1,0,0,1,100.0
1904,Regular,NC State,Clemson,1,0,0,1,100.0
1904,Regular,NC State,North Carolina,0,0,1,1,0.0
1904,Regular,NC State,Virginia,0,1,0,1,0.0
1904,Regular,North Carolina,NC State,0,0,1,1,0.0
1904,Regular,North Carolina,Virginia,0,1,0,1,0.0
1904,Regular,North Carolina,Virginia Tech,1,0,0,1,100.0
1904,Regular,Virginia,NC State,1,0,0,1,100.0
1904,Regular,Virginia,North Carolina,1,0,0,1,100.0
1904,Regular,Virginia,Virginia Tech,1,0,0,1,100.0
1904,Regular,Virginia Tech,North Carolina,0,1,0,1,0.0
1904,Regular,Virginia Tech,Virginia,0,1,0,1,0.0
1905,Regular,Clemson,Georgia Tech,0,1,0,1,0.0
1905,Regular,Georgia Tech,Clemson,1,0,0,1,100.0
1905,Regular,NC State,North Carolina,0,0,1,1,0.0
1905,Regular,NC State,Virginia,0,1,0,1,0.0
1905,Regular,North Carolina,NC State,0,0,1,1,0.0
1905,Regular,North Carolina,Virginia,1,0,0,1,100.0
1905,Regular,North Carolina,Virginia Tech,0,1,0,1,0.0
1905,Regular,Virginia,NC State,1,0,0,1,100.0
1905,Regular,Virginia,North Carolina,0,1,0,1,0.0
1905,Regular,Virginia,Virginia Tech,0,1,0,1,0.0
1905,Regular,Virginia Tech,North Carolina,1,0,0,1,100.0
1905,Regular,Virginia Tech,Virginia,1,0,0,1,100.0
1906,Regular,Clemson,Georgia Tech,1,0,0,1,100.0
1906,Regular,Clemson,NC State,0,0,1,1,0.0
1906,Regular,Clemson,Virginia Tech,0,0,1,1,0.0
1906,Regular,Georgia Tech,Clemson,0,1,0,1,0.0
1906,Regular,NC State,Clemson,0,0,1,1,0.0
1906,Regular,NC State,Virginia Tech,0,1,0,1,0.0
1906,Regular,North Carolina,Virginia Tech,0,0,1,1,0.0
1906,Regular,Virginia Tech,Clemson,0,0,1,1,0.0
1906,Regular,Virginia Tech,NC State,1,0,0,1,100.0
1906,Regular,Virginia Tech,North Carolina,0,0,1,1,0.0
1907,Regular,Clemson,Georgia Tech,1,0,0,1,100.0
1907,Regular,Clemson,North Carolina,1,0,0,1,100.0
1907,Regular,Georgia Tech,Clemson,0,1,0,1,0.0
1907,Regular,NC State,Virginia,1,0,0,1,100.0
1907,Regular,North Carolina,Clemson,0,1,0,1,0.0
1907,Regular,North Carolina,Virginia,0,1,0,1,0.0
1907,Regular,North Carolina,Virginia Tech,0,1,0,1,0.0
1907,Regular,Virginia,NC State,0,1,0,1,0.0
1907,Regular,Virginia,North Carolina,1,0,0,1,100.0
1907,Regular,Virginia Tech,North Carolina,1,0,0,1,100.0
1908,Regular,Clemson,Georgia Tech,0,1,0,1,0.0
1908,Regular,Clemson,Virginia Tech,0,1,0,1,0.0
1908,Regular,Georgia Tech,Clemson,1,0,0,1,100.0
1908,Regular,NC State,Virginia,0,1,0,1,0.0
1908,Regular,NC State,Virginia Tech,1,0,0,1,100.0
1908,Regular,NC State,Wake Forest,2,0,0,2,100.0
1908,Regular,North Carolina,Virginia,0,1,0,1,0.0
1908,Regular,North Carolina,Virginia Tech,0,1,0,1,0.0
1908,Regular,North Carolina,Wake Forest,1,0,0,1,100.0
1908,Regular,Virginia,NC State,1,0,0,1,100.0
1908,Regular,Virginia,North Carolina,1,0,0,1,100.0
1908,Regular,Virginia Tech,Clemson,1,0,0,1,100.0
1908,Regular,Virginia Tech,NC State,0,1,0,1,0.0
1908,Regular,Virginia Tech,North Carolina,1,0,0,1,100.0
1908,Regular,Wake Forest,NC State,0,2,0,2,0.0
1908,Regular,Wake Forest,North Carolina,0,1,0,1,0.0
1909,Regular,Clemson,Georgia Tech,0,1,0,1,0.0
1909,Regular,Clemson,Virginia Tech,0,1,0,1,0.0
1909,Regular,Georgia Tech,Clemson,1,0,0,1,100.0
1909,Regular,NC State,Virginia Tech,0,1,0,1,0.0
1909,Regular,North Carolina,Virginia Tech,0,1,0,1,0.0
