Team,Opponent,Win_Percentage,Wins,Losses,Ties,Total_Games
Boston College,Boston College,,0,0,0,0
Boston College,Clemson,29.03,9,22,2,33
Boston College,Duke,55.56,5,4,0,9
Boston College,Florida State,27.27,6,16,0,22
Boston College,Georgia Tech,38.46,5,8,0,13
Boston College,Louisville,38.89,7,11,0,18
Boston College,Miami (FL),19.35,6,25,0,31
Boston College,NC State,57.89,11,8,0,19
Boston College,North Carolina,33.33,3,6,0,9
Boston College,Pittsburgh,45.71,16,19,0,35
Boston College,Syracuse,42.37,25,34,0,59
Boston College,Virginia,77.78,7,2,0,9
Boston College,Virginia Tech,33.33,11,22,0,33
Boston College,Wake Forest,51.85,14,13,2,29
Clemson,Boston College,70.97,22,9,2,33
Clemson,Clemson,,0,0,0,0
Clemson,Duke,67.27,37,18,1,56
Clemson,Florida State,44.74,17,21,0,38
Clemson,Georgia Tech,39.53,34,52,2,88
Clemson,Louisville,90.0,9,1,0,10
Clemson,Miami (FL),50.0,7,7,0,14
Clemson,NC State,66.67,60,30,1,91
Clemson,North Carolina,68.97,40,18,1,59
Clemson,Pittsburgh,50.0,3,3,0,6
Clemson,Syracuse,76.92,10,3,0,13
Clemson,Virginia,83.67,41,8,1,50
Clemson,Virginia Tech,67.65,23,11,1,35
Clemson,Wake Forest,80.9,72,17,1,90
Duke,Boston College,44.44,4,5,0,9
Duke,Clemson,32.73,18,37,1,56
Duke,Duke,,0,0,0,0
Duke,Florida State,4.35,1,22,0,23
Duke,Georgia Tech,38.46,35,56,1,92
Duke,Louisville,0.0,0,4,0,4
Duke,Miami (FL),23.81,5,16,0,21
Duke,NC State,54.32,44,37,5,86
Duke,North Carolina,37.62,38,63,4,105
Duke,Pittsburgh,37.04,10,17,0,27
Duke,Syracuse,83.33,5,1,0,6
Duke,Virginia,45.95,34,40,0,74
Duke,Virginia Tech,38.71,12,19,0,31
Duke,Wake Forest,60.0,60,40,2,102
Florida State,Boston College,72.73,16,6,0,22
Florida State,Clemson,55.26,21,17,0,38
Florida State,Duke,95.65,22,1,0,23
Florida State,Florida State,,0,0,0,0
Florida State,Georgia Tech,51.72,15,14,1,30
Florida State,Louisville,77.27,17,5,0,22
Florida State,Miami (FL),47.14,33,37,0,70
Florida State,NC State,61.36,27,17,0,44
Florida State,North Carolina,80.95,17,4,1,22
Florida State,Pittsburgh,41.67,5,7,0,12
Florida State,Syracuse,87.5,14,2,0,16
Florida State,Virginia,75.0,15,5,0,20
Florida State,Virginia Tech,65.79,25,13,1,39
Florida State,Wake Forest,78.05,32,9,1,42
Georgia Tech,Boston College,61.54,8,5,0,13
Georgia Tech,Clemson,60.47,52,34,2,88
Georgia Tech,Duke,61.54,56,35,1,92
Georgia Tech,Florida State,48.28,14,15,1,30
Georgia Tech,Georgia Tech,,0,0,0,0
Georgia Tech,Louisville,50.0,2,2,0,4
Georgia Tech,Miami (FL),51.72,15,14,0,29
Georgia Tech,NC State,63.64,21,12,0,33
Georgia Tech,North Carolina,60.71,34,22,3,59
Georgia Tech,Pittsburgh,33.33,6,12,0,18
Georgia Tech,Syracuse,71.43,5,2,0,7
Georgia Tech,Virginia,50.0,22,22,1,45
Georgia Tech,Virginia Tech,42.86,9,12,0,21
Georgia Tech,Wake Forest,75.76,25,8,0,33
Louisville,Boston College,61.11,11,7,0,18
Louisville,Clemson,10.0,1,9,0,10
Louisville,Duke,100.0,4,0,0,4
Louisville,Florida State,22.73,5,17,0,22
Louisville,Georgia Tech,50.0,2,2,0,4
Louisville,Louisville,,0,0,0,0
Louisville,Miami (FL),31.25,5,11,1,17
Louisville,NC State,69.23,9,4,0,13
Louisville,North Carolina,62.5,5,3,0,8
Louisville,Pittsburgh,50.0,11,11,0,22
Louisville,Syracuse,61.9,13,8,0,21
Louisville,Virginia,57.14,8,6,0,14
Louisville,Virginia Tech,40.0,4,6,0,10
Louisville,Wake Forest,70.0,7,3,0,10
Miami (FL),Boston College,80.65,25,6,0,31
Miami (FL),Clemson,50.0,7,7,0,14
Miami (FL),Duke,76.19,16,5,0,21
Miami (FL),Florida State,52.86,37,33,0,70
Miami (FL),Georgia Tech,48.28,14,15,0,29
Miami (FL),Louisville,68.75,11,5,1,17
Miami (FL),Miami (FL),,0,0,0,0
Miami (FL),NC State,66.67,12,6,1,19
Miami (FL),North Carolina,40.74,11,16,0,27
Miami (FL),Pittsburgh,71.43,30,12,1,43
Miami (FL),Syracuse,68.0,17,8,0,25
Miami (FL),Virginia,61.9,13,8,0,21
Miami (FL),Virginia Tech,64.29,27,15,0,42
Miami (FL),Wake Forest,75.0,9,3,0,12
NC State,Boston College,42.11,8,11,0,19
NC State,Clemson,33.33,30,60,1,91
NC State,Duke,45.68,37,44,5,86
NC State,Florida State,38.64,17,27,0,44
NC State,Georgia Tech,36.36,12,21,0,33
NC State,Louisville,30.77,4,9,0,13
NC State,Miami (FL),33.33,6,12,1,19
NC State,NC State,,0,0,0,0
NC State,North Carolina,40.59,41,60,5,106
NC State,Pittsburgh,45.45,5,6,1,12
NC State,Syracuse,76.47,13,4,0,17
NC State,Virginia,63.33,38,22,0,60
NC State,Virginia Tech,41.67,20,28,4,52
NC State,Wake Forest,61.95,70,43,5,118
North Carolina,Boston College,66.67,6,3,0,9
North Carolina,Clemson,31.03,18,40,1,59
North Carolina,Duke,62.38,63,38,4,105
