year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1892,Regular,Illinois,Nebraska,0,1,0,1,0.0
1892,Regular,Illinois,Northwestern,0,0,1,1,0.0
1892,Regular,Illinois,Purdue,0,1,0,1,0.0
1892,Regular,Indiana,Purdue,0,1,0,1,0.0
1892,Regular,Michigan,Minnesota,0,1,0,1,0.0
1892,Regular,Michigan,Northwestern,0,1,0,1,0.0
1892,Regular,Michigan,Purdue,0,1,0,1,0.0
1892,Regular,Michigan,Wisconsin,1,0,0,1,100.0
1892,Regular,Minnesota,Michigan,1,0,0,1,100.0
1892,Regular,Minnesota,Northwestern,1,0,0,1,100.0
1892,Regular,Minnesota,Wisconsin,1,0,0,1,100.0
1892,Regular,Nebraska,Illinois,1,0,0,1,100.0
1892,Regular,Northwestern,Illinois,0,0,1,1,0.0
1892,Regular,Northwestern,Michigan,1,0,0,1,100.0
1892,Regular,Northwestern,Minnesota,0,1,0,1,0.0
1892,Regular,Northwestern,Wisconsin,0,2,0,2,0.0
1892,Regular,Purdue,Illinois,1,0,0,1,100.0
1892,Regular,Purdue,Indiana,1,0,0,1,100.0
1892,Regular,Purdue,Michigan,1,0,0,1,100.0
1892,Regular,Purdue,Wisconsin,1,0,0,1,100.0
1892,Regular,Wisconsin,Michigan,0,1,0,1,0.0
1892,Regular,Wisconsin,Minnesota,0,1,0,1,0.0
1892,Regular,Wisconsin,Northwestern,2,0,0,2,100.0
1892,Regular,Wisconsin,Purdue,0,1,0,1,0.0
1893,Regular,Illinois,Northwestern,0,0,1,1,0.0
1893,Regular,Illinois,Purdue,0,0,1,1,0.0
1893,Regular,Indiana,Purdue,0,1,0,1,0.0
1893,Regular,Michigan,Minnesota,0,1,0,1,0.0
1893,Regular,Michigan,Northwestern,1,0,0,1,100.0
1893,Regular,Michigan,Purdue,1,0,0,1,100.0
1893,Regular,Michigan,Wisconsin,0,1,0,1,0.0
1893,Regular,Minnesota,Michigan,1,0,0,1,100.0
1893,Regular,Minnesota,Northwestern,1,0,0,1,100.0
1893,Regular,Minnesota,Wisconsin,1,0,0,1,100.0
1893,Regular,Northwestern,Illinois,0,0,1,1,0.0
1893,Regular,Northwestern,Michigan,0,1,0,1,0.0
1893,Regular,Northwestern,Minnesota,0,1,0,1,0.0
1893,Regular,Purdue,Illinois,0,0,1,1,0.0
1893,Regular,Purdue,Indiana,1,0,0,1,100.0
1893,Regular,Purdue,Michigan,0,1,0,1,0.0
1893,Regular,Purdue,Wisconsin,0,1,0,1,0.0
1893,Regular,Wisconsin,Michigan,1,0,0,1,100.0
1893,Regular,Wisconsin,Minnesota,0,1,0,1,0.0
1893,Regular,Wisconsin,Purdue,1,0,0,1,100.0
