Team,Opponent,Win_Percentage,Wins,Losses,Ties,Total_Games
Illinois,Illinois,,0,0,0,0
Illinois,Indiana,63.89,46,26,2,74
Illinois,Iowa,50.65,39,38,2,79
Illinois,Maryland,50.0,2,2,0,4
Illinois,Michigan,25.0,24,72,2,98
Illinois,Michigan State,42.55,20,27,2,49
Illinois,Minnesota,44.59,33,41,3,77
Illinois,Nebraska,33.33,7,14,1,22
Illinois,Northwestern,51.75,59,55,5,119
Illinois,Ohio State,30.0,30,70,4,104
Illinois,Penn State,21.43,6,22,0,28
Illinois,Purdue,50.0,47,47,6,100
Illinois,Rutgers,70.0,7,3,0,10
Illinois,Wisconsin,45.24,38,46,7,91
Indiana,Illinois,36.11,26,46,2,74
Indiana,Indiana,,0,0,0,0
Indiana,Iowa,38.67,29,46,4,79
Indiana,Maryland,64.29,9,5,0,14
Indiana,Michigan,15.07,11,62,0,73
Indiana,Michigan State,27.14,19,51,2,72
Indiana,Minnesota,39.39,26,40,3,69
Indiana,Nebraska,55.0,11,9,3,23
Indiana,Northwestern,43.37,36,47,1,84
Indiana,Ohio State,13.83,13,81,5,99
Indiana,Penn State,10.71,3,25,0,28
Indiana,Purdue,36.97,44,75,6,125
Indiana,Rutgers,50.0,5,5,0,10
Indiana,Wisconsin,33.87,21,41,2,64
Iowa,Illinois,49.35,38,39,2,79
Iowa,Indiana,61.33,46,29,4,79
Iowa,Iowa,,0,0,0,0
Iowa,Maryland,80.0,4,1,0,5
Iowa,Michigan,25.0,15,45,4,64
Iowa,Michigan State,53.06,26,23,2,51
Iowa,Minnesota,46.55,54,62,2,118
Iowa,Nebraska,43.48,20,26,1,47
Iowa,Northwestern,66.27,55,28,3,86
Iowa,Ohio State,23.44,15,49,3,67
Iowa,Penn State,45.45,15,18,0,33
Iowa,Purdue,45.05,41,50,3,94
Iowa,Rutgers,100.0,5,0,0,5
Iowa,Wisconsin,49.48,48,49,2,99
Maryland,Illinois,50.0,2,2,0,4
Maryland,Indiana,35.71,5,9,0,14
Maryland,Iowa,20.0,1,4,0,5
Maryland,Maryland,,0,0,0,0
Maryland,Michigan,7.69,1,12,0,13
Maryland,Michigan State,25.0,4,12,0,16
Maryland,Minnesota,50.0,4,4,0,8
Maryland,Nebraska,25.0,1,3,0,4
Maryland,Northwestern,20.0,1,4,0,5
Maryland,Ohio State,0.0,0,9,0,9
Maryland,Penn State,6.38,3,44,1,48
