year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1901,Regular,Kansas,Texas,1,0,0,1,100.0
1901,Regular,Texas,Kansas,0,1,0,1,0.0
1902,Regular,Kansas,Kansas State,1,0,0,1,100.0
1902,Regular,Kansas State,Kansas,0,1,0,1,0.0
1902,Regular,Oklahoma,Texas,0,1,0,1,0.0
1902,Regular,Texas,Oklahoma,1,0,0,1,100.0
1903,Regular,Baylor,TCU,2,0,0,2,100.0
1903,Regular,Baylor,Texas,0,1,0,1,0.0
1903,Regular,Kansas,Kansas State,1,0,0,1,100.0
1903,Regular,Kansas,Oklahoma,1,0,0,1,100.0
1903,Regular,Kansas State,Kansas,0,1,0,1,0.0
1903,Regular,Oklahoma,Kansas,0,1,0,1,0.0
1903,Regular,Oklahoma,Texas,0,1,1,2,0.0
1903,Regular,TCU,Baylor,0,2,0,2,0.0
1903,Regular,Texas,Baylor,1,0,0,1,100.0
1903,Regular,Texas,Oklahoma,1,0,1,2,100.0
1904,Regular,Baylor,TCU,1,1,1,3,50.0
1904,Regular,Baylor,Texas,0,1,0,1,0.0
1904,Regular,Kansas,Kansas State,1,0,0,1,100.0
1904,Regular,Kansas,Oklahoma,1,0,0,1,100.0
1904,Regular,Kansas State,Kansas,0,1,0,1,0.0
1904,Regular,Oklahoma,Kansas,0,1,0,1,0.0
1904,Regular,Oklahoma,Texas,0,1,0,1,0.0
1904,Regular,TCU,Baylor,1,1,1,3,50.0
1904,Regular,TCU,Texas,0,1,0,1,0.0
1904,Regular,Texas,Baylor,1,0,0,1,100.0
1904,Regular,Texas,Oklahoma,1,0,0,1,100.0
1904,Regular,Texas,TCU,1,0,0,1,100.0
1905,Regular,Baylor,TCU,1,2,0,3,33.33
1905,Regular,Baylor,Texas,0,1,0,1,0.0
1905,Regular,Kansas,Kansas State,1,0,0,1,100.0
1905,Regular,Kansas,Oklahoma,1,0,0,1,100.0
1905,Regular,Kansas State,Kansas,0,1,0,1,0.0
1905,Regular,Oklahoma,Kansas,0,1,0,1,0.0
1905,Regular,Oklahoma,Texas,1,0,0,1,100.0
1905,Regular,TCU,Baylor,2,1,0,3,66.67
1905,Regular,TCU,Texas,0,1,0,1,0.0
1905,Regular,Texas,Baylor,1,0,0,1,100.0
1905,Regular,Texas,Oklahoma,0,1,0,1,0.0
1905,Regular,Texas,TCU,1,0,0,1,100.0
1906,Regular,Kansas,Kansas State,0,1,0,1,0.0
1906,Regular,Kansas,Oklahoma,1,0,0,1,100.0
1906,Regular,Kansas State,Kansas,1,0,0,1,100.0
1906,Regular,Oklahoma,Kansas,0,1,0,1,0.0
1906,Regular,Oklahoma,Texas,0,1,0,1,0.0
1906,Regular,TCU,Texas,0,1,0,1,0.0
1906,Regular,Texas,Oklahoma,1,0,0,1,100.0
1906,Regular,Texas,TCU,1,0,0,1,100.0
1907,Regular,Baylor,TCU,1,1,1,3,50.0
1907,Regular,Baylor,Texas,0,1,0,1,0.0
1907,Regular,Kansas,Kansas State,1,0,0,1,100.0
1907,Regular,Kansas,Oklahoma,1,0,0,1,100.0
1907,Regular,Kansas State,Kansas,0,1,0,1,0.0
1907,Regular,Oklahoma,Kansas,0,1,0,1,0.0
1907,Regular,Oklahoma,Texas,0,1,0,1,0.0
1907,Regular,TCU,Baylor,1,1,1,3,50.0
1907,Regular,Texas,Baylor,1,0,0,1,100.0
1907,Regular,Texas,Oklahoma,1,0,0,1,100.0
1908,Regular,Baylor,TCU,1,2,0,3,33.33
1908,Regular,Baylor,Texas,0,1,0,1,0.0
1908,Regular,Kansas,Kansas State,1,0,0,1,100.0
1908,Regular,Kansas,Oklahoma,1,0,0,1,100.0
1908,Regular,Kansas State,Kansas,0,1,0,1,0.0
1908,Regular,Oklahoma,Kansas,0,1,0,1,0.0
1908,Regular,Oklahoma,Texas,1,0,0,1,100.0
1908,Regular,TCU,Baylor,2,1,0,3,66.67
1908,Regular,TCU,Texas,0,1,0,1,0.0
1908,Regular,Texas,Baylor,1,0,0,1,100.0
1908,Regular,Texas,Oklahoma,0,1,0,1,0.0
1908,Regular,Texas,TCU,1,0,0,1,100.0
1909,Regular,Baylor,TCU,1,2,0,3,33.33
1909,Regular,Kansas,Kansas State,1,0,0,1,100.0
1909,Regular,Kansas,Oklahoma,1,0,0,1,100.0
1909,Regular,Kansas State,Kansas,0,1,0,1,0.0
1909,Regular,Oklahoma,Kansas,0,1,0,1,0.0
1909,Regular,Oklahoma,Texas,0,1,0,1,0.0
1909,Regular,TCU,Baylor,2,1,0,3,66.67
1909,Regular,TCU,Texas,0,1,0,1,0.0
1909,Regular,Texas,Oklahoma,1,0,0,1,100.0
1909,Regular,Texas,TCU,1,0,0,1,100.0
1910,Regular,Baylor,TCU,2,0,0,2,100.0
1910,Regular,Baylor,Texas,0,0,1,1,0.0
1910,Regular,Kansas,Oklahoma,1,0,0,1,100.0
1910,Regular,Oklahoma,Kansas,0,1,0,1,0.0
1910,Regular,Oklahoma,Texas,1,0,0,1,100.0
1910,Regular,TCU,Baylor,0,2,0,2,0.0
1910,Regular,Texas,Baylor,0,0,1,1,0.0
1910,Regular,Texas,Oklahoma,0,1,0,1,0.0
1911,Regular,Baylor,TCU,1,0,0,1,100.0
1911,Regular,Baylor,Texas,0,1,0,1,0.0
1911,Regular,Kansas,Kansas State,1,0,0,1,100.0
1911,Regular,Kansas,Oklahoma,0,1,0,1,0.0
1911,Regular,Kansas State,Kansas,0,1,0,1,0.0
1911,Regular,Oklahoma,Kansas,1,0,0,1,100.0
1911,Regular,Oklahoma,Texas,1,0,0,1,100.0
1911,Regular,TCU,Baylor,0,1,0,1,0.0
1911,Regular,Texas,Baylor,1,0,0,1,100.0
1911,Regular,Texas,Oklahoma,0,1,0,1,0.0
1912,Regular,Baylor,TCU,0,1,0,1,0.0
1912,Regular,Baylor,Texas,0,1,0,1,0.0
1912,Regular,Kansas,Kansas State,1,0,0,1,100.0
1912,Regular,Kansas,Oklahoma,0,1,0,1,0.0
1912,Regular,Kansas State,Kansas,0,1,0,1,0.0
1912,Regular,Oklahoma,Kansas,1,0,0,1,100.0
1912,Regular,Oklahoma,Oklahoma State,1,0,0,1,100.0
1912,Regular,Oklahoma,Texas,1,0,0,1,100.0
1912,Regular,Oklahoma State,Oklahoma,0,1,0,1,0.0
1912,Regular,TCU,Baylor,1,0,0,1,100.0
1912,Regular,TCU,Texas,0,1,0,1,0.0
1912,Regular,Texas,Baylor,1,0,0,1,100.0
1912,Regular,Texas,Oklahoma,0,1,0,1,0.0
1912,Regular,Texas,TCU,1,0,0,1,100.0
1913,Regular,Baylor,Texas,0,1,0,1,0.0
1913,Regular,Kansas,Kansas State,1,0,0,1,100.0
1913,Regular,Kansas,Oklahoma,0,1,0,1,0.0
1913,Regular,Kansas State,Kansas,0,1,0,1,0.0
