year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1890,Regular,Duke,Virginia,0,1,0,1,0.0
1890,Regular,Virginia,Duke,1,0,0,1,100.0
1892,Regular,Illinois,Kansas,0,1,0,1,0.0
1892,Regular,Illinois,Nebraska,0,1,0,1,0.0
1892,Regular,Illinois,Northwestern,0,0,1,1,0.0
1892,Regular,Illinois,Purdue,0,1,0,1,0.0
1892,Regular,Indiana,Purdue,0,1,0,1,0.0
1892,Regular,Kansas,Illinois,1,0,0,1,100.0
1892,Regular,Michigan,Minnesota,0,1,0,1,0.0
1892,Regular,Michigan,Northwestern,0,1,0,1,0.0
1892,Regular,Michigan,Purdue,0,1,0,1,0.0
1892,Regular,Michigan,Wisconsin,1,0,0,1,100.0
1892,Regular,Minnesota,Michigan,1,0,0,1,100.0
1892,Regular,Minnesota,Northwestern,1,0,0,1,100.0
1892,Regular,Minnesota,Wisconsin,1,0,0,1,100.0
1892,Regular,Nebraska,Illinois,1,0,0,1,100.0
1892,Regular,Northwestern,Illinois,0,0,1,1,0.0
1892,Regular,Northwestern,Michigan,1,0,0,1,100.0
1892,Regular,Northwestern,Minnesota,0,1,0,1,0.0
1892,Regular,Northwestern,Wisconsin,0,2,0,2,0.0
1892,Regular,Purdue,Illinois,1,0,0,1,100.0
1892,Regular,Purdue,Indiana,1,0,0,1,100.0
1892,Regular,Purdue,Michigan,1,0,0,1,100.0
1892,Regular,Purdue,Wisconsin,1,0,0,1,100.0
1892,Regular,Wisconsin,Michigan,0,1,0,1,0.0
1892,Regular,Wisconsin,Minnesota,0,1,0,1,0.0
1892,Regular,Wisconsin,Northwestern,2,0,0,2,100.0
1892,Regular,Wisconsin,Purdue,0,1,0,1,0.0
1893,Regular,Illinois,Northwestern,0,0,1,1,0.0
1893,Regular,Illinois,Purdue,0,0,1,1,0.0
1893,Regular,Indiana,Purdue,0,1,0,1,0.0
1893,Regular,Kansas,Michigan,0,1,0,1,0.0
1893,Regular,Kansas,Minnesota,0,1,0,1,0.0
1893,Regular,Michigan,Kansas,1,0,0,1,100.0
1893,Regular,Michigan,Minnesota,0,1,0,1,0.0
1893,Regular,Michigan,Northwestern,1,0,0,1,100.0
1893,Regular,Michigan,Purdue,1,0,0,1,100.0
1893,Regular,Michigan,Wisconsin,0,1,0,1,0.0
1893,Regular,Minnesota,Kansas,1,0,0,1,100.0
1893,Regular,Minnesota,Michigan,1,0,0,1,100.0
1893,Regular,Minnesota,Northwestern,1,0,0,1,100.0
1893,Regular,Minnesota,Wisconsin,1,0,0,1,100.0
1893,Regular,Northwestern,Illinois,0,0,1,1,0.0
1893,Regular,Northwestern,Michigan,0,1,0,1,0.0
1893,Regular,Northwestern,Minnesota,0,1,0,1,0.0
1893,Regular,Purdue,Illinois,0,0,1,1,0.0
1893,Regular,Purdue,Indiana,1,0,0,1,100.0
1893,Regular,Purdue,Michigan,0,1,0,1,0.0
1893,Regular,Purdue,Wisconsin,0,1,0,1,0.0
1893,Regular,Wisconsin,Michigan,1,0,0,1,100.0
1893,Regular,Wisconsin,Minnesota,0,1,0,1,0.0
1893,Regular,Wisconsin,Purdue,1,0,0,1,100.0
1894,Regular,Illinois,Northwestern,1,0,0,1,100.0
1894,Regular,Illinois,Purdue,0,1,0,1,0.0
1894,Regular,Iowa,Wisconsin,0,1,0,1,0.0
1894,Regular,Kansas,Michigan,0,1,0,1,0.0
1894,Regular,Michigan,Kansas,1,0,0,1,100.0
1894,Regular,Minnesota,Purdue,1,0,0,1,100.0
1894,Regular,Minnesota,Wisconsin,0,1,0,1,0.0
1894,Regular,Northwestern,Illinois,0,1,0,1,0.0
1894,Regular,Purdue,Illinois,1,0,0,1,100.0
1894,Regular,Purdue,Minnesota,0,1,0,1,0.0
1894,Regular,Purdue,Wisconsin,1,0,0,1,100.0
1894,Regular,Wisconsin,Iowa,1,0,0,1,100.0
1894,Regular,Wisconsin,Minnesota,1,0,0,1,100.0
1894,Regular,Wisconsin,Purdue,0,1,0,1,0.0
1895,Regular,Illinois,Northwestern,1,0,0,1,100.0
1895,Regular,Illinois,Purdue,0,1,0,1,0.0
1895,Regular,Illinois,Wisconsin,0,0,1,1,0.0
1895,Regular,Iowa,Iowa State,0,1,0,1,0.0
1895,Regular,Iowa State,Iowa,1,0,0,1,100.0
1895,Regular,Iowa State,Minnesota,0,1,0,1,0.0
1895,Regular,Iowa State,Northwestern,1,0,0,1,100.0
1895,Regular,Iowa State,Purdue,0,1,0,1,0.0
1895,Regular,Iowa State,Wisconsin,0,1,0,1,0.0
1895,Regular,Kentucky,Purdue,0,1,0,1,0.0
1895,Regular,Michigan,Minnesota,1,0,0,1,100.0
1895,Regular,Michigan,Purdue,1,0,0,1,100.0
1895,Regular,Minnesota,Iowa State,1,0,0,1,100.0
1895,Regular,Minnesota,Michigan,0,1,0,1,0.0
1895,Regular,Minnesota,Purdue,0,1,0,1,0.0
1895,Regular,Minnesota,Wisconsin,1,0,0,1,100.0
1895,Regular,Missouri,Northwestern,1,0,0,1,100.0
1895,Regular,Missouri,Purdue,1,0,0,1,100.0
1895,Regular,Northwestern,Illinois,0,1,0,1,0.0
1895,Regular,Northwestern,Iowa State,0,1,0,1,0.0
1895,Regular,Northwestern,Missouri,0,1,0,1,0.0
1895,Regular,Northwestern,Purdue,1,0,0,1,100.0
1895,Regular,Northwestern,Wisconsin,0,1,0,1,0.0
1895,Regular,Purdue,Illinois,1,0,0,1,100.0
1895,Regular,Purdue,Iowa State,1,0,0,1,100.0
1895,Regular,Purdue,Kentucky,1,0,0,1,100.0
1895,Regular,Purdue,Michigan,0,1,0,1,0.0
1895,Regular,Purdue,Minnesota,1,0,0,1,100.0
1895,Regular,Purdue,Missouri,0,1,0,1,0.0
1895,Regular,Purdue,Northwestern,0,1,0,1,0.0
1895,Regular,Wisconsin,Illinois,0,0,1,1,0.0
1895,Regular,Wisconsin,Iowa State,1,0,0,1,100.0
1895,Regular,Wisconsin,Minnesota,0,1,0,1,0.0
1895,Regular,Wisconsin,Northwestern,1,0,0,1,100.0
1896,Regular,Illinois,Missouri,1,0,0,1,100.0
1896,Regular,Illinois,Northwestern,0,1,0,1,0.0
1896,Regular,Illinois,Purdue,0,0,1,1,0.0
1896,Regular,Iowa State,Minnesota,0,1,0,1,0.0
