Team,Opponent,Win_Percentage,Wins,Losses,Ties,Total_Games
Alabama,Alabama,,0,0,0,0
Alabama,Arizona,,0,0,0,0
Alabama,Arizona State,,0,0,0,0
Alabama,Arkansas,79.41,27,7,0,34
Alabama,Auburn,61.45,51,32,1,84
Alabama,BYU,100.0,1,0,0,1
Alabama,Baylor,100.0,2,0,0,2
Alabama,Boston College,25.0,1,3,0,4
Alabama,California (Cal),50.0,1,1,0,2
Alabama,Cincinnati,100.0,6,0,0,6
Alabama,Clemson,77.78,14,4,0,18
Alabama,Colorado,66.67,2,1,0,3
Alabama,Duke,80.0,4,1,0,5
Alabama,Florida,67.44,29,14,0,43
Alabama,Florida State,60.0,3,2,1,6
Alabama,Georgia,63.38,45,26,3,74
Alabama,Georgia Tech,57.14,28,21,3,52
Alabama,Houston,100.0,10,0,0,10
Alabama,Illinois,100.0,1,0,0,1
Alabama,Indiana,0.0,0,1,0,1
Alabama,Iowa,,0,0,0,0
Alabama,Iowa State,100.0,1,0,0,1
Alabama,Kansas,,0,0,0,0
Alabama,Kansas State,100.0,1,0,0,1
Alabama,Kentucky,95.12,39,2,1,42
Alabama,LSU,69.05,58,26,5,89
Alabama,Louisville,75.0,3,1,0,4
Alabama,Maryland,66.67,2,1,0,3
Alabama,Miami (FL),83.33,15,3,0,18
Alabama,Michigan,42.86,3,4,0,7
Alabama,Michigan State,100.0,2,0,0,2
Alabama,Minnesota,0.0,0,1,0,1
Alabama,Mississippi State,83.5,86,17,3,106
Alabama,Missouri,77.78,7,2,0,9
Alabama,NC State,100.0,5,0,0,5
Alabama,Nebraska,60.0,3,2,0,5
Alabama,North Carolina,100.0,1,0,0,1
Alabama,Northwestern,,0,0,0,0
Alabama,Ohio State,80.0,4,1,0,5
Alabama,Oklahoma,37.5,3,5,1,9
Alabama,Oklahoma State,0.0,0,1,0,1
Alabama,Ole Miss,86.15,56,9,2,67
Alabama,Oregon,,0,0,0,0
Alabama,Oregon State,,0,0,0,0
Alabama,Penn State,66.67,10,5,0,15
Alabama,Pittsburgh,,0,0,0,0
Alabama,Purdue,,0,0,0,0
Alabama,Rutgers,100.0,2,0,0,2
Alabama,South Carolina,83.33,15,3,0,18
Alabama,Stanford,100.0,1,0,1,2
Alabama,Syracuse,50.0,1,1,0,2
Alabama,TCU,40.0,2,3,0,5
Alabama,Tennessee,61.0,61,39,7,107
Alabama,Texas,20.0,2,8,1,11
Alabama,Texas A&M,81.25,13,3,0,16
Alabama,Texas Tech,100.0,1,0,0,1
Alabama,UCF,0.0,0,1,0,1
Alabama,UCLA,33.33,1,2,0,3
Alabama,USC,75.0,6,2,0,8
Alabama,Utah,0.0,0,1,0,1
Alabama,Vanderbilt,77.11,64,19,4,87
Alabama,Virginia,,0,0,0,0
Alabama,Virginia Tech,92.31,12,1,0,13
Alabama,Wake Forest,,0,0,0,0
Alabama,Washington,100.0,5,0,0,5
Alabama,Washington State,100.0,1,0,0,1
Alabama,West Virginia,100.0,1,0,0,1
Alabama,Wisconsin,75.0,3,1,0,4
Arizona,Alabama,,0,0,0,0
Arizona,Arizona,,0,0,0,0
Arizona,Arizona State,48.86,43,45,1,89
Arizona,Arkansas,,0,0,0,0
Arizona,Auburn,33.33,1,2,0,3
Arizona,BYU,46.15,12,14,1,27
Arizona,Baylor,50.0,1,1,0,2
Arizona,Boston College,100.0,1,0,0,1
Arizona,California (Cal),55.88,19,15,2,36
Arizona,Cincinnati,100.0,1,0,0,1
Arizona,Clemson,,0,0,0,0
Arizona,Colorado,39.29,11,17,0,28
Arizona,Duke,,0,0,0,0
Arizona,Florida,,0,0,0,0
