year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1903,Regular,Colorado,Utah,1,0,0,1,100.0
1903,Regular,Utah,Colorado,0,1,0,1,0.0
1904,Regular,Colorado,Stanford,0,1,0,1,0.0
1904,Regular,Colorado,Utah,1,0,0,1,100.0
1904,Regular,Stanford,Colorado,1,0,0,1,100.0
1904,Regular,Utah,Colorado,0,1,0,1,0.0
1905,Regular,Colorado,Utah,1,0,0,1,100.0
1905,Regular,Utah,Colorado,0,1,0,1,0.0
1906,Regular,Colorado,Utah,0,1,0,1,0.0
1906,Regular,Utah,Colorado,1,0,0,1,100.0
1907,Regular,Colorado,Utah,1,0,0,1,100.0
1907,Regular,Utah,Colorado,0,1,0,1,0.0
1908,Regular,Colorado,Utah,0,1,0,1,0.0
1908,Regular,Utah,Colorado,1,0,0,1,100.0
1910,Regular,Colorado,Utah,1,0,0,1,100.0
1910,Regular,Utah,Colorado,0,1,0,1,0.0
1911,Regular,Colorado,Utah,1,0,0,1,100.0
1911,Regular,Utah,Colorado,0,1,0,1,0.0
1912,Regular,Colorado,Utah,1,0,0,1,100.0
1912,Regular,Utah,Colorado,0,1,0,1,0.0
1913,Regular,Colorado,Utah,1,0,0,1,100.0
1913,Regular,Utah,Colorado,0,1,0,1,0.0
1914,Regular,Colorado,Utah,1,0,0,1,100.0
1914,Regular,Utah,Colorado,0,1,0,1,0.0
1915,Regular,Colorado,Utah,0,1,0,1,0.0
1915,Regular,Colorado,Washington,0,1,0,1,0.0
1915,Regular,USC,Utah,0,1,0,1,0.0
1915,Regular,Utah,Colorado,1,0,0,1,100.0
1915,Regular,Utah,USC,1,0,0,1,100.0
1915,Regular,Washington,Colorado,1,0,0,1,100.0
1916,Regular,California (Cal),Oregon,0,1,0,1,0.0
1916,Regular,California (Cal),USC,1,0,0,1,100.0
1916,Regular,California (Cal),Washington,0,2,0,2,0.0
1916,Regular,Colorado,Utah,0,1,0,1,0.0
1916,Regular,Oregon,California (Cal),1,0,0,1,100.0
1916,Regular,Oregon,Oregon State,1,0,0,1,100.0
1916,Regular,Oregon,Washington,0,0,1,1,0.0
1916,Regular,Oregon,Washington State,1,0,0,1,100.0
1916,Regular,Oregon State,Oregon,0,1,0,1,0.0
1916,Regular,Oregon State,USC,1,0,0,1,100.0
1916,Regular,Oregon State,Washington,0,1,0,1,0.0
1916,Regular,Oregon State,Washington State,1,0,0,1,100.0
1916,Regular,USC,California (Cal),0,1,0,1,0.0
1916,Regular,USC,Oregon State,0,1,0,1,0.0
1916,Regular,USC,Utah,0,1,0,1,0.0
1916,Regular,Utah,Colorado,1,0,0,1,100.0
1916,Regular,Utah,USC,1,0,0,1,100.0
1916,Regular,Washington,California (Cal),2,0,0,2,100.0
1916,Regular,Washington,Oregon,0,0,1,1,0.0
1916,Regular,Washington,Oregon State,1,0,0,1,100.0
1916,Regular,Washington State,Oregon,0,1,0,1,0.0
1916,Regular,Washington State,Oregon State,0,1,0,1,0.0
1917,Regular,California (Cal),Oregon,0,1,0,1,0.0
1917,Regular,California (Cal),Oregon State,1,0,0,1,100.0
1917,Regular,California (Cal),USC,0,0,1,1,0.0
1917,Regular,California (Cal),Washington,1,0,0,1,100.0
1917,Regular,Colorado,Utah,1,0,0,1,100.0
1917,Regular,Oregon,California (Cal),1,0,0,1,100.0
1917,Regular,Oregon,Oregon State,0,1,0,1,0.0
1917,Regular,Oregon,Washington State,0,1,0,1,0.0
1917,Regular,Oregon State,California (Cal),0,1,0,1,0.0
1917,Regular,Oregon State,Oregon,1,0,0,1,100.0
1917,Regular,Oregon State,Washington,0,0,1,1,0.0
1917,Regular,Oregon State,Washington State,0,1,0,1,0.0
1917,Regular,USC,California (Cal),0,0,1,1,0.0
1917,Regular,USC,Utah,1,0,0,1,100.0
1917,Regular,Utah,Colorado,0,1,0,1,0.0
1917,Regular,Utah,USC,0,1,0,1,0.0
1917,Regular,Washington,California (Cal),0,1,0,1,0.0
1917,Regular,Washington,Oregon State,0,0,1,1,0.0
1917,Regular,Washington,Washington State,0,1,0,1,0.0
1917,Regular,Washington State,Oregon,1,0,0,1,100.0
1917,Regular,Washington State,Oregon State,1,0,0,1,100.0
1917,Regular,Washington State,Washington,1,0,0,1,100.0
1918,Regular,California (Cal),Oregon,1,0,0,1,100.0
1918,Regular,California (Cal),Stanford,1,0,0,1,100.0
1918,Regular,California (Cal),USC,1,0,0,1,100.0
1918,Regular,Oregon,California (Cal),0,1,0,1,0.0
1918,Regular,Oregon,Oregon State,1,0,0,1,100.0
1918,Regular,Oregon,Washington,1,0,0,1,100.0
1918,Regular,Oregon State,Oregon,0,1,0,1,0.0
1918,Regular,Oregon State,Washington,0,1,0,1,0.0
1918,Regular,Stanford,California (Cal),0,1,0,1,0.0
1918,Regular,Stanford,USC,0,1,0,1,0.0
1918,Regular,USC,California (Cal),0,1,0,1,0.0
1918,Regular,USC,Stanford,1,0,0,1,100.0
1918,Regular,Washington,Oregon,0,1,0,1,0.0
1918,Regular,Washington,Oregon State,1,0,0,1,100.0
1919,Regular,California (Cal),Oregon State,1,0,0,1,100.0
1919,Regular,California (Cal),Stanford,1,0,0,1,100.0
1919,Regular,California (Cal),USC,1,0,0,1,100.0
1919,Regular,California (Cal),Washington,0,1,0,1,0.0
1919,Regular,California (Cal),Washington State,0,1,0,1,0.0
1919,Regular,Colorado,Utah,0,1,0,1,0.0
1919,Regular,Oregon,Oregon State,1,0,0,1,100.0
1919,Regular,Oregon,Washington,1,0,0,1,100.0
1919,Regular,Oregon,Washington State,0,1,0,1,0.0
1919,Regular,Oregon State,California (Cal),0,1,0,1,0.0
1919,Regular,Oregon State,Oregon,0,1,0,1,0.0
1919,Regular,Oregon State,Stanford,0,1,0,1,0.0
1919,Regular,Oregon State,Washington State,1,0,0,1,100.0
1919,Regular,Stanford,California (Cal),0,1,0,1,0.0
1919,Regular,Stanford,Oregon State,1,0,0,1,100.0
1919,Regular,Stanford,USC,0,1,0,1,0.0
1919,Regular,USC,California (Cal),0,1,0,1,0.0
1919,Regular,USC,Stanford,1,0,0,1,100.0
1919,Regular,USC,Utah,1,0,0,1,100.0
1919,Regular,Utah,Colorado,1,0,0,1,100.0
1919,Regular,Utah,USC,0,1,0,1,0.0
1919,Regular,Washington,California (Cal),1,0,0,1,100.0
1919,Regular,Washington,Oregon,0,1,0,1,0.0
1919,Regular,Washington,Washington State,1,0,0,1,100.0
1919,Regular,Washington State,California (Cal),1,0,0,1,100.0
1919,Regular,Washington State,Oregon,1,0,0,1,100.0
1919,Regular,Washington State,Oregon State,0,1,0,1,0.0
1919,Regular,Washington State,Washington,0,1,0,1,0.0
1920,Regular,California (Cal),Oregon State,1,0,0,1,100.0
1920,Regular,California (Cal),Stanford,1,0,0,1,100.0
1920,Regular,California (Cal),Utah,1,0,0,1,100.0
1920,Regular,California (Cal),Washington State,1,0,0,1,100.0
