Team,Opponent,Win_Percentage,Wins,Losses,Ties,Total_Games
Arizona,Arizona,,0,0,0,0
Arizona,Arizona State,48.86,43,45,1,89
Arizona,California (Cal),55.88,19,15,2,36
Arizona,Colorado,39.29,11,17,0,28
Arizona,Oregon,36.96,17,29,0,46
Arizona,Oregon State,60.98,25,16,1,42
Arizona,Stanford,46.88,15,17,0,32
Arizona,UCLA,40.0,18,27,2,47
Arizona,USC,17.78,8,37,0,45
Arizona,Utah,44.68,21,26,2,49
Arizona,Washington,29.73,11,26,1,38
Arizona,Washington State,59.57,28,19,0,47
Arizona State,Arizona,51.14,45,43,1,89
Arizona State,Arizona State,,0,0,0,0
Arizona State,California (Cal),47.22,17,19,0,36
Arizona State,Colorado,73.33,11,4,0,15
Arizona State,Oregon,46.15,18,21,0,39
Arizona State,Oregon State,65.22,30,16,1,47
Arizona State,Stanford,52.94,18,16,0,34
Arizona State,UCLA,41.03,16,23,1,40
Arizona State,USC,35.0,14,26,0,40
Arizona State,Utah,63.89,23,13,0,36
Arizona State,Washington,56.41,22,17,0,39
Arizona State,Washington State,64.44,29,16,2,47
California (Cal),Arizona,44.12,15,19,2,36
California (Cal),Arizona State,52.78,19,17,0,36
California (Cal),California (Cal),,0,0,0,0
California (Cal),Colorado,58.33,7,5,0,12
California (Cal),Oregon,48.15,39,42,1,82
California (Cal),Oregon State,51.95,40,37,0,77
California (Cal),Stanford,45.45,45,54,6,105
California (Cal),UCLA,37.63,35,58,1,94
California (Cal),USC,30.1,31,72,5,108
California (Cal),Utah,46.15,6,7,0,13
California (Cal),Washington,42.71,41,55,3,99
California (Cal),Washington State,62.03,49,30,5,84
Colorado,Arizona,60.71,17,11,0,28
Colorado,Arizona State,26.67,4,11,0,15
Colorado,California (Cal),41.67,5,7,0,12
Colorado,Colorado,,0,0,0,0
Colorado,Oregon,36.0,9,16,0,25
Colorado,Oregon State,42.86,6,8,0,14
Colorado,Stanford,46.15,6,7,0,13
Colorado,UCLA,26.32,5,14,0,19
Colorado,USC,0.0,0,17,0,17
Colorado,Utah,47.83,33,36,3,72
Colorado,Washington,35.0,7,13,1,21
Colorado,Washington State,42.86,6,8,0,14
Oregon,Arizona,63.04,29,17,0,46
Oregon,Arizona State,53.85,21,18,0,39
Oregon,California (Cal),51.85,42,39,1,82
Oregon,Colorado,64.0,16,9,0,25
Oregon,Oregon,,0,0,0,0
Oregon,Oregon State,55.34,57,46,6,109
Oregon,Stanford,43.37,36,47,1,84
Oregon,UCLA,45.21,33,40,0,73
Oregon,USC,37.1,23,39,2,64
Oregon,Utah,67.57,25,12,0,37
Oregon,Washington,45.1,46,56,4,106
Oregon,Washington State,58.43,52,37,6,95
Oregon State,Arizona,39.02,16,25,1,42
Oregon State,Arizona State,34.78,16,30,1,47
