year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1902,Regular,Alabama,Auburn,0,1,0,1,0.0
1902,Regular,Alabama,Georgia,0,1,0,1,0.0
1902,Regular,Alabama,LSU,0,1,0,1,0.0
1902,Regular,Alabama,Mississippi State,1,0,0,1,100.0
1902,Regular,Auburn,Alabama,1,0,0,1,100.0
1902,Regular,Auburn,Georgia,0,1,0,1,0.0
1902,Regular,Auburn,LSU,0,1,0,1,0.0
1902,Regular,Georgia,Alabama,1,0,0,1,100.0
1902,Regular,Georgia,Auburn,1,0,0,1,100.0
1902,Regular,LSU,Alabama,1,0,0,1,100.0
1902,Regular,LSU,Auburn,1,0,0,1,100.0
1902,Regular,LSU,Mississippi State,1,0,0,1,100.0
1902,Regular,LSU,Ole Miss,1,0,0,1,100.0
1902,Regular,LSU,Vanderbilt,0,1,0,1,0.0
1902,Regular,Mississippi State,Alabama,0,1,0,1,0.0
1902,Regular,Mississippi State,LSU,0,1,0,1,0.0
1902,Regular,Mississippi State,Ole Miss,0,1,0,1,0.0
1902,Regular,Ole Miss,LSU,0,1,0,1,0.0
1902,Regular,Ole Miss,Mississippi State,1,0,0,1,100.0
1902,Regular,Ole Miss,Tennessee,0,1,0,1,0.0
1902,Regular,Ole Miss,Vanderbilt,0,1,0,1,0.0
1902,Regular,Tennessee,Ole Miss,1,0,0,1,100.0
1902,Regular,Tennessee,Vanderbilt,0,1,0,1,0.0
1902,Regular,Vanderbilt,LSU,1,0,0,1,100.0
1902,Regular,Vanderbilt,Ole Miss,1,0,0,1,100.0
1902,Regular,Vanderbilt,Tennessee,1,0,0,1,100.0
1903,Regular,Alabama,Auburn,1,0,0,1,100.0
1903,Regular,Alabama,LSU,1,0,0,1,100.0
1903,Regular,Alabama,Mississippi State,0,1,0,1,0.0
1903,Regular,Alabama,Tennessee,1,0,0,1,100.0
1903,Regular,Alabama,Vanderbilt,0,1,0,1,0.0
1903,Regular,Auburn,Alabama,0,1,0,1,0.0
1903,Regular,Auburn,Georgia,0,1,0,1,0.0
1903,Regular,Auburn,LSU,1,0,0,1,100.0
1903,Regular,Georgia,Auburn,1,0,0,1,100.0
1903,Regular,Georgia,South Carolina,0,1,0,1,0.0
1903,Regular,Georgia,Tennessee,1,0,0,1,100.0
1903,Regular,Georgia,Vanderbilt,0,1,0,1,0.0
1903,Regular,LSU,Alabama,0,1,0,1,0.0
1903,Regular,LSU,Auburn,0,1,0,1,0.0
1903,Regular,Mississippi State,Alabama,1,0,0,1,100.0
1903,Regular,Ole Miss,Vanderbilt,0,1,0,1,0.0
1903,Regular,South Carolina,Georgia,1,0,0,1,100.0
1903,Regular,South Carolina,Tennessee,1,0,0,1,100.0
1903,Regular,Tennessee,Alabama,0,1,0,1,0.0
1903,Regular,Tennessee,Georgia,0,1,0,1,0.0
1903,Regular,Tennessee,South Carolina,0,1,0,1,0.0
1903,Regular,Tennessee,Vanderbilt,0,1,0,1,0.0
1903,Regular,Vanderbilt,Alabama,1,0,0,1,100.0
1903,Regular,Vanderbilt,Georgia,1,0,0,1,100.0
1903,Regular,Vanderbilt,Ole Miss,1,0,0,1,100.0
1903,Regular,Vanderbilt,Tennessee,1,0,0,1,100.0
1904,Regular,Alabama,Auburn,0,1,0,1,0.0
1904,Regular,Alabama,Florida,1,0,0,1,100.0
1904,Regular,Alabama,Georgia,1,0,0,1,100.0
1904,Regular,Alabama,LSU,1,0,0,1,100.0
1904,Regular,Alabama,Mississippi State,1,0,0,1,100.0
1904,Regular,Alabama,Tennessee,0,1,0,1,0.0
1904,Regular,Auburn,Alabama,1,0,0,1,100.0
1904,Regular,Auburn,Florida,1,0,0,1,100.0
1904,Regular,Auburn,Georgia,1,0,0,1,100.0
1904,Regular,Florida,Alabama,0,1,0,1,0.0
1904,Regular,Florida,Auburn,0,1,0,1,0.0
1904,Regular,Florida,Georgia,0,1,0,1,0.0
1904,Regular,Georgia,Alabama,0,1,0,1,0.0
1904,Regular,Georgia,Auburn,0,1,0,1,0.0
1904,Regular,Georgia,Florida,1,0,0,1,100.0
1904,Regular,Georgia,South Carolina,0,1,0,1,0.0
1904,Regular,LSU,Alabama,0,1,0,1,0.0
1904,Regular,LSU,Ole Miss,1,0,0,1,100.0
1904,Regular,Mississippi State,Alabama,0,1,0,1,0.0
1904,Regular,Mississippi State,Ole Miss,0,1,0,1,0.0
1904,Regular,Mississippi State,Vanderbilt,0,1,0,1,0.0
1904,Regular,Ole Miss,LSU,0,1,0,1,0.0
1904,Regular,Ole Miss,Mississippi State,1,0,0,1,100.0
1904,Regular,Ole Miss,Vanderbilt,0,1,0,1,0.0
1904,Regular,South Carolina,Georgia,1,0,0,1,100.0
1904,Regular,Tennessee,Alabama,1,0,0,1,100.0
