year,gameType,team,opponent,wins,losses,total_games,win_pct
1946,Regular Season,Boston Celtics,Golden State Warriors,1,2,3,33.33
1946,Regular Season,Boston Celtics,New York Knicks,0,2,2,0.0
1946,Regular Season,Golden State Warriors,Boston Celtics,2,1,3,66.67
1946,Regular Season,Golden State Warriors,New York Knicks,1,1,2,50.0
1946,Regular Season,New York Knicks,Boston Celtics,2,0,2,100.0
1946,Regular Season,New York Knicks,Golden State Warriors,1,1,2,50.0
1947,Regular Season,Boston Celtics,Golden State Warriors,3,4,7,42.86
1947,Regular Season,Boston Celtics,New York Knicks,5,3,8,62.5
1947,Regular Season,Golden State Warriors,Boston Celtics,4,3,7,57.14
1947,Regular Season,Golden State Warriors,New York Knicks,5,3,8,62.5
1947,Regular Season,New York Knicks,Boston Celtics,3,5,8,37.5
1947,Regular Season,New York Knicks,Golden State Warriors,3,5,8,37.5
1947,Playoffs,Golden State Warriors,New York Knicks,2,0,2,100.0
1947,Playoffs,New York Knicks,Golden State Warriors,0,2,2,0.0
1948,Regular Season,Boston Celtics,Detroit Pistons,1,1,2,50.0
1948,Regular Season,Boston Celtics,Golden State Warriors,3,5,8,37.5
1948,Regular Season,Boston Celtics,Los Angeles Lakers,2,1,3,66.67
1948,Regular Season,Boston Celtics,New York Knicks,1,4,5,20.0
1948,Regular Season,Boston Celtics,Sacramento Kings,0,2,2,0.0
1948,Regular Season,Detroit Pistons,Boston Celtics,1,1,2,50.0
1948,Regular Season,Detroit Pistons,Golden State Warriors,2,0,2,100.0
1948,Regular Season,Detroit Pistons,Los Angeles Lakers,1,0,1,100.0
1948,Regular Season,Detroit Pistons,New York Knicks,0,3,3,0.0
1948,Regular Season,Detroit Pistons,Sacramento Kings,0,2,2,0.0
1948,Regular Season,Golden State Warriors,Boston Celtics,5,3,8,62.5
1948,Regular Season,Golden State Warriors,Detroit Pistons,0,2,2,0.0
1948,Regular Season,Golden State Warriors,Los Angeles Lakers,1,1,2,50.0
1948,Regular Season,Golden State Warriors,New York Knicks,3,3,6,50.0
1948,Regular Season,Golden State Warriors,Sacramento Kings,0,2,2,0.0
1948,Regular Season,Los Angeles Lakers,Boston Celtics,1,2,3,33.33
1948,Regular Season,Los Angeles Lakers,Detroit Pistons,0,1,1,0.0
1948,Regular Season,Los Angeles Lakers,Golden State Warriors,1,1,2,50.0
1948,Regular Season,Los Angeles Lakers,New York Knicks,1,1,2,50.0
1948,Regular Season,Los Angeles Lakers,Sacramento Kings,3,1,4,75.0
1948,Regular Season,New York Knicks,Boston Celtics,4,1,5,80.0
1948,Regular Season,New York Knicks,Detroit Pistons,3,0,3,100.0
1948,Regular Season,New York Knicks,Golden State Warriors,3,3,6,50.0
1948,Regular Season,New York Knicks,Los Angeles Lakers,1,1,2,50.0
1948,Regular Season,New York Knicks,Sacramento Kings,1,2,3,33.33
1948,Regular Season,Sacramento Kings,Boston Celtics,2,0,2,100.0
1948,Regular Season,Sacramento Kings,Detroit Pistons,2,0,2,100.0
1948,Regular Season,Sacramento Kings,Golden State Warriors,2,0,2,100.0
1948,Regular Season,Sacramento Kings,Los Angeles Lakers,1,3,4,25.0
1948,Regular Season,Sacramento Kings,New York Knicks,2,1,3,66.67
1949,Regular Season,Atlanta Hawks,Boston Celtics,2,0,2,100.0
1949,Regular Season,Atlanta Hawks,Detroit Pistons,0,2,2,0.0
1949,Regular Season,Atlanta Hawks,Los Angeles Lakers,0,1,1,0.0
1949,Regular Season,Atlanta Hawks,New York Knicks,0,1,1,0.0
1949,Regular Season,Atlanta Hawks,Philadelphia 76ers,0,3,3,0.0
1949,Regular Season,Atlanta Hawks,Sacramento Kings,0,1,1,0.0
