Team,Opponent,Win_Percentage,Wins,Losses,Total_Games
Atlanta Hawks,Atlanta Hawks,,0,0,0
Atlanta Hawks,Boston Celtics,38.4,182,292,474
Atlanta Hawks,Brooklyn Nets,54.37,112,94,206
Atlanta Hawks,Charlotte Hornets,54.43,86,72,158
Atlanta Hawks,Chicago Bulls,45.55,133,159,292
Atlanta Hawks,Cleveland Cavaliers,51.67,139,130,269
Atlanta Hawks,Dallas Mavericks,53.26,49,43,92
Atlanta Hawks,Denver Nuggets,51.46,53,50,103
Atlanta Hawks,Detroit Pistons,48.9,244,255,499
Atlanta Hawks,Golden State Warriors,48.76,157,165,322
Atlanta Hawks,Houston Rockets,50.0,88,88,176
Atlanta Hawks,Indiana Pacers,51.01,126,121,247
Atlanta Hawks,Los Angeles Clippers,61.03,83,53,136
Atlanta Hawks,Los Angeles Lakers,42.75,171,229,400
Atlanta Hawks,Memphis Grizzlies,57.33,43,32,75
Atlanta Hawks,Miami Heat,43.58,78,101,179
Atlanta Hawks,Milwaukee Bucks,49.63,135,137,272
Atlanta Hawks,Minnesota Timberwolves,61.97,44,27,71
Atlanta Hawks,New Orleans Pelicans,60.32,38,25,63
Atlanta Hawks,New York Knicks,50.85,210,203,413
Atlanta Hawks,Oklahoma City Thunder,48.32,72,77,149
Atlanta Hawks,Orlando Magic,50.59,86,84,170
Atlanta Hawks,Philadelphia 76ers,48.93,205,214,419
Atlanta Hawks,Phoenix Suns,45.83,66,78,144
Atlanta Hawks,Portland Trail Blazers,48.06,62,67,129
Atlanta Hawks,Sacramento Kings,50.61,166,162,328
Atlanta Hawks,San Antonio Spurs,42.48,48,65,113
Atlanta Hawks,Toronto Raptors,47.79,54,59,113
Atlanta Hawks,Utah Jazz,48.7,56,59,115
Atlanta Hawks,Washington Wizards,52.92,145,129,274
Boston Celtics,Atlanta Hawks,61.6,292,182,474
Boston Celtics,Boston Celtics,,0,0,0
Boston Celtics,Brooklyn Nets,64.53,171,94,265
Boston Celtics,Charlotte Hornets,64.54,91,50,141
